mem: 93824994647101, val: 0
mem: 93824994647100, val: 0
mem: 93824994647099, val: 0
mem: 93824994647098, val: 0
mem: 93824994647097, val: 0
mem: 93824994647096, val: 0
mem: 93824994647095, val: 0
mem: 93824994647094, val: 0
mem: 93824994647093, val: 0
mem: 93824994647092, val: 0
mem: 93824994647091, val: 0
mem: 93824994647090, val: 0
mem: 93824994647089, val: 0
mem: 93824994647088, val: 0
mem: 93824994647087, val: 0
mem: 93824994647086, val: 0
mem: 93824994647085, val: 0
mem: 93824994647084, val: 0
mem: 93824994647083, val: 0
mem: 93824994647082, val: 0
mem: 93824994647081, val: 0
mem: 93824994647080, val: 0
mem: 93824994647079, val: 0
mem: 93824994647078, val: 0
mem: 93824994647077, val: 0
mem: 93824994647076, val: 0
mem: 93824994647075, val: 0
mem: 93824994647074, val: 0
mem: 93824994647073, val: 0
mem: 93824994647072, val: 0
mem: 93824994647071, val: 0
mem: 93824994647070, val: 0
mem: 93824994647069, val: 0
mem: 93824994647068, val: 0
mem: 93824994647067, val: 0
mem: 93824994647066, val: 0
mem: 93824994647065, val: 0
mem: 93824994647064, val: 0
mem: 93824994647063, val: 0
mem: 93824994647062, val: 0
mem: 93824994647061, val: 0
mem: 93824994647060, val: 0
mem: 93824994647059, val: 0
mem: 93824994647058, val: 0
mem: 93824994647057, val: 0
mem: 93824994647056, val: 0
mem: 93824994647055, val: 0
mem: 93824994647054, val: 0
mem: 93824994647053, val: 0
mem: 93824994647052, val: 0
mem: 93824994647051, val: 0
mem: 93824994647050, val: 0
mem: 93824994647049, val: 0
mem: 93824994647048, val: 0
mem: 93824994647047, val: 0
mem: 93824994647046, val: 0
mem: 93824994647045, val: 0
mem: 93824994647044, val: 0
mem: 93824994647043, val: 0
mem: 93824994647042, val: 0
mem: 93824994647041, val: 0
mem: 93824994647040, val: 0
mem: 93824994647039, val: 0
mem: 93824994647038, val: 0
mem: 93824994647037, val: 0
mem: 93824994647036, val: 0
mem: 93824994647035, val: 0
mem: 93824994647034, val: 0
mem: 93824994647033, val: 0
mem: 93824994647032, val: 0
mem: 93824994647031, val: 0
mem: 93824994647030, val: 0
mem: 93824994647029, val: 0
mem: 93824994647028, val: 0
mem: 93824994647027, val: 0
mem: 93824994647026, val: 0
mem: 93824994647025, val: 0
mem: 93824994647024, val: 0
mem: 93824994647023, val: 0
mem: 93824994647022, val: 0
mem: 93824994647021, val: 0
mem: 93824994647020, val: 0
mem: 93824994647019, val: 0
mem: 93824994647018, val: 0
mem: 93824994647017, val: 0
mem: 93824994647016, val: 0
mem: 93824994647015, val: 0
mem: 93824994647014, val: 0
mem: 93824994647013, val: 0
mem: 93824994647012, val: 0
mem: 93824994647011, val: 0
mem: 93824994647010, val: 0
mem: 93824994647009, val: 0
mem: 93824994647008, val: 0
mem: 93824994647007, val: 0
mem: 93824994647006, val: 0
mem: 93824994647005, val: 0
mem: 93824994647004, val: 0
mem: 93824994647003, val: 0
mem: 93824994647002, val: 0
mem: 93824994647001, val: 0
mem: 93824994647000, val: 0
mem: 93824994646999, val: 0
mem: 93824994646998, val: 0
mem: 93824994646997, val: 0
mem: 93824994646996, val: 0
mem: 93824994646995, val: 0
mem: 93824994646994, val: 0
mem: 93824994646993, val: 0
mem: 93824994646992, val: 0
mem: 93824994646991, val: 0
mem: 93824994646990, val: 0
mem: 93824994646989, val: 0
mem: 93824994646988, val: 0
mem: 93824994646987, val: 0
mem: 93824994646986, val: 0
mem: 93824994646985, val: 0
mem: 93824994646984, val: 0
mem: 93824994646983, val: 0
mem: 93824994646982, val: 0
mem: 93824994646981, val: 0
mem: 93824994646980, val: 0
mem: 93824994646979, val: 0
mem: 93824994646978, val: 0
mem: 93824994646977, val: 0
mem: 93824994646976, val: 0
mem: 93824994646975, val: 0
mem: 93824994646974, val: 0
mem: 93824994646973, val: 0
mem: 93824994646972, val: 0
mem: 93824994646971, val: 0
mem: 93824994646970, val: 0
mem: 93824994646969, val: 0
mem: 93824994646968, val: 0
mem: 93824994646967, val: 0
mem: 93824994646966, val: 0
mem: 93824994646965, val: 0
mem: 93824994646964, val: 0
mem: 93824994646963, val: 0
mem: 93824994646962, val: 0
mem: 93824994646961, val: 0
mem: 93824994646960, val: 0
mem: 93824994646959, val: 0
mem: 93824994646958, val: 0
mem: 93824994646957, val: 0
mem: 93824994646956, val: 0
mem: 93824994646955, val: 0
mem: 93824994646954, val: 0
mem: 93824994646953, val: 0
mem: 93824994646952, val: 0
mem: 93824994646951, val: 0
mem: 93824994646950, val: 0
mem: 93824994646949, val: 0
mem: 93824994646948, val: 0
mem: 93824994646947, val: 0
mem: 93824994646946, val: 0
mem: 93824994646945, val: 0
mem: 93824994646944, val: 0
mem: 93824994646943, val: 0
mem: 93824994646942, val: 0
mem: 93824994646941, val: 0
mem: 93824994646940, val: 0
mem: 93824994646939, val: 0
mem: 93824994646938, val: 0
mem: 93824994646937, val: 0
mem: 93824994646936, val: 0
mem: 93824994646935, val: 0
mem: 93824994646934, val: 0
mem: 93824994646933, val: 0
mem: 93824994646932, val: 0
mem: 93824994646931, val: 0
mem: 93824994646930, val: 0
mem: 93824994646929, val: 0
mem: 93824994646928, val: 0
mem: 93824994646927, val: 0
mem: 93824994646926, val: 0
mem: 93824994646925, val: 0
mem: 93824994646924, val: 0
mem: 93824994646923, val: 0
mem: 93824994646922, val: 0
mem: 93824994646921, val: 0
mem: 93824994646920, val: 0
mem: 93824994646919, val: 0
mem: 93824994646918, val: 0
mem: 93824994646917, val: 0
mem: 93824994646916, val: 0
mem: 93824994646915, val: 0
mem: 93824994646914, val: 0
mem: 93824994646913, val: 0
mem: 93824994646912, val: 0
mem: 93824994646911, val: 0
mem: 93824994646910, val: 0
mem: 93824994646909, val: 0
mem: 93824994646908, val: 0
mem: 93824994646907, val: 0
mem: 93824994646906, val: 0
mem: 93824994646905, val: 0
mem: 93824994646904, val: 0
mem: 93824994646903, val: 0
mem: 93824994646902, val: 0
mem: 93824994646901, val: 0
mem: 93824994646900, val: 0
mem: 93824994646899, val: 0
mem: 93824994646898, val: 0
mem: 93824994646897, val: 0
mem: 93824994646896, val: 0
mem: 93824994646895, val: 0
mem: 93824994646894, val: 0
mem: 93824994646893, val: 0
mem: 93824994646892, val: 0
mem: 93824994646891, val: 0
mem: 93824994646890, val: 0
mem: 93824994646889, val: 0
mem: 93824994646888, val: 0
mem: 93824994646887, val: 0
mem: 93824994646886, val: 0
mem: 93824994646885, val: 0
mem: 93824994646884, val: 0
mem: 93824994646883, val: 0
mem: 93824994646882, val: 0
mem: 93824994646881, val: 0
mem: 93824994646880, val: 0
mem: 93824994646879, val: 0
mem: 93824994646878, val: 0
mem: 93824994646877, val: 0
mem: 93824994646876, val: 0
mem: 93824994646875, val: 0
mem: 93824994646874, val: 0
mem: 93824994646873, val: 0
mem: 93824994646872, val: 0
mem: 93824994646871, val: 0
mem: 93824994646870, val: 0
mem: 93824994646869, val: 0
mem: 93824994646868, val: 0
mem: 93824994646867, val: 0
mem: 93824994646866, val: 0
mem: 93824994646865, val: 0
